"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|FI","Without sequence","94.93","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|FI","Without sequence","118.62","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|FI","Without sequence","125.7","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|FI","Without sequence","123.32","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|FI","Without sequence","110.47","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|FI","Without sequence","101.39","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|FI","Without sequence","106.88","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|FI","Without sequence","113.55","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|FI","Without sequence","129.15","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|FI","Without sequence","135.28","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|FI","Without sequence","150.22","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|FI","Without sequence","148.43","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|FI","Without sequence","109.51","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|FI","Without sequence","104.67","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|FI","Without sequence","77.65","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|FI","Without sequence","66.87","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|FI","Without sequence","58.07","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|FI","Without sequence","43.43","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|FI","Without sequence","50.66","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|FI","Without sequence","37.42","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|FI","Without sequence","33.43","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|FI","Without sequence","39.92","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|FI","Without sequence","67.99","",""
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|FI","Without sequence","83.01","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|FI","Without sequence","123.89","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|FI","Without sequence","125.82","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|FI","Without sequence","127.05","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|FI","Without sequence","100.0","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|FI","Without sequence","105.95","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|FI","Without sequence","89.18","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|FI","Without sequence","92.99","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|FI","Without sequence","94.02","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|FI","Without sequence","101.03","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|FI","Without sequence","123.89","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|FI","Without sequence","119.91","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|FI","Without sequence","119.9","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|FI","Without sequence","108.44","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|FI","Without sequence","88.19","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|FI","Without sequence","91.2","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|FI","Without sequence","91.19","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|FI","Without sequence","77.06","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|FI","Without sequence","51.81","",""
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|FI","Without sequence","48.64","",""
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|FI","Without sequence","48.45","",""
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|FI","Without sequence","55.01","",""
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|FI","Without sequence","47.97","",""
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|FI","Without sequence","58.5","",""
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|FI","Without sequence","59.67","",""
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|FI","Without sequence","85.17","",""
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|FI","Without sequence","101.1","",""
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|FI","Without sequence","106.83","",""
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|FI","Without sequence","107.45","",""
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|FI","Without sequence","106.48","",""
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|FI","Without sequence","104.2","",""
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|FI","Without sequence","78.86","",""
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|FI","Without sequence","113.79","",""
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|FI","Without sequence","138.39","",""
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|FI","Without sequence","149.99","",""
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|FI","Without sequence","150.17","",""
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|FI","Without sequence","147.33","",""
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|FI","Without sequence","140.1","",""
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|FI","Without sequence","123.2","",""
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|FI","Without sequence","120.5","",""
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|FI","Without sequence","77.21","",""
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|FI","Without sequence","64.41","",""
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|FI","Without sequence","56.81","",""
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|FI","Without sequence","57.59","",""
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|FI","Without sequence","58.58","",""
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|FI","Without sequence","60.59","",""
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|FI","Without sequence","69.56","",""
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|FI","Without sequence","71.34","",""
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|FI","Without sequence","85.68","",""
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|FI","Without sequence","85.41","",""
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|FI","Without sequence","89.3","",""
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|FI","Without sequence","98.82","",""
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|FI","Without sequence","106.02","",""
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|FI","Without sequence","99.97","",""
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|FI","Without sequence","93.5","",""
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|FI","Without sequence","91.29","",""
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|FI","Without sequence","106.03","",""
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|FI","Without sequence","99.97","",""
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|FI","Without sequence","76.21","",""
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|FI","Without sequence","70.06","",""
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|FI","Without sequence","67.34","",""
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|FI","Without sequence","52.85","",""
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|FI","Without sequence","37.2","",""
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|FI","Without sequence","38.74","",""
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|FI","Without sequence","35.75","",""
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|FI","Without sequence","27.16","",""
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|FI","Without sequence","55.01","",""
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|FI","Without sequence","44.19","",""
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|FI","Without sequence","39.99","",""
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|FI","Without sequence","44.95","",""
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|FI","Without sequence","55.0","",""
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|FI","Without sequence","75.01","",""
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|FI","Without sequence","88.09","",""
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|FI","Without sequence","103.23","",""
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|FI","Without sequence","97.83","",""
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|FI","Without sequence","99.94","",""
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|FI","Without sequence","119.99","",""
"06/01/2025 11:00:00 - 06/01/2025 12:00:00","BZN|FI","Without sequence","93.5","",""
"06/01/2025 12:00:00 - 06/01/2025 13:00:00","BZN|FI","Without sequence","93.49","",""
"06/01/2025 13:00:00 - 06/01/2025 14:00:00","BZN|FI","Without sequence","93.49","",""
"06/01/2025 14:00:00 - 06/01/2025 15:00:00","BZN|FI","Without sequence","106.02","",""
"06/01/2025 15:00:00 - 06/01/2025 16:00:00","BZN|FI","Without sequence","119.99","",""
"06/01/2025 16:00:00 - 06/01/2025 17:00:00","BZN|FI","Without sequence","106.03","",""
"06/01/2025 17:00:00 - 06/01/2025 18:00:00","BZN|FI","Without sequence","106.02","",""
"06/01/2025 18:00:00 - 06/01/2025 19:00:00","BZN|FI","Without sequence","106.03","",""
"06/01/2025 19:00:00 - 06/01/2025 20:00:00","BZN|FI","Without sequence","93.49","",""
"06/01/2025 20:00:00 - 06/01/2025 21:00:00","BZN|FI","Without sequence","55.41","",""
"06/01/2025 21:00:00 - 06/01/2025 22:00:00","BZN|FI","Without sequence","55.01","",""
"06/01/2025 22:00:00 - 06/01/2025 23:00:00","BZN|FI","Without sequence","30.78","",""
"06/01/2025 23:00:00 - 07/01/2025 00:00:00","BZN|FI","Without sequence","19.02","",""
"07/01/2025 00:00:00 - 07/01/2025 01:00:00","BZN|FI","Without sequence","20.19","",""
"07/01/2025 01:00:00 - 07/01/2025 02:00:00","BZN|FI","Without sequence","6.97","",""
"07/01/2025 02:00:00 - 07/01/2025 03:00:00","BZN|FI","Without sequence","5.7","",""
"07/01/2025 03:00:00 - 07/01/2025 04:00:00","BZN|FI","Without sequence","4.96","",""
"07/01/2025 04:00:00 - 07/01/2025 05:00:00","BZN|FI","Without sequence","5.35","",""
"07/01/2025 05:00:00 - 07/01/2025 06:00:00","BZN|FI","Without sequence","5.82","",""
"07/01/2025 06:00:00 - 07/01/2025 07:00:00","BZN|FI","Without sequence","27.46","",""
"07/01/2025 07:00:00 - 07/01/2025 08:00:00","BZN|FI","Without sequence","36.14","",""
"07/01/2025 08:00:00 - 07/01/2025 09:00:00","BZN|FI","Without sequence","37.45","",""
"07/01/2025 09:00:00 - 07/01/2025 10:00:00","BZN|FI","Without sequence","34.97","",""
"07/01/2025 10:00:00 - 07/01/2025 11:00:00","BZN|FI","Without sequence","34.24","",""
"07/01/2025 11:00:00 - 07/01/2025 12:00:00","BZN|FI","Without sequence","34.63","",""
"07/01/2025 12:00:00 - 07/01/2025 13:00:00","BZN|FI","Without sequence","33.21","",""
"07/01/2025 13:00:00 - 07/01/2025 14:00:00","BZN|FI","Without sequence","33.26","",""
"07/01/2025 14:00:00 - 07/01/2025 15:00:00","BZN|FI","Without sequence","29.61","",""
"07/01/2025 15:00:00 - 07/01/2025 16:00:00","BZN|FI","Without sequence","31.54","",""
"07/01/2025 16:00:00 - 07/01/2025 17:00:00","BZN|FI","Without sequence","22.32","",""
"07/01/2025 17:00:00 - 07/01/2025 18:00:00","BZN|FI","Without sequence","22.0","",""
"07/01/2025 18:00:00 - 07/01/2025 19:00:00","BZN|FI","Without sequence","17.84","",""
"07/01/2025 19:00:00 - 07/01/2025 20:00:00","BZN|FI","Without sequence","7.22","",""
"07/01/2025 20:00:00 - 07/01/2025 21:00:00","BZN|FI","Without sequence","5.95","",""
"07/01/2025 21:00:00 - 07/01/2025 22:00:00","BZN|FI","Without sequence","5.94","",""
"07/01/2025 22:00:00 - 07/01/2025 23:00:00","BZN|FI","Without sequence","5.13","",""
"07/01/2025 23:00:00 - 08/01/2025 00:00:00","BZN|FI","Without sequence","4.33","",""
"08/01/2025 00:00:00 - 08/01/2025 01:00:00","BZN|FI","Without sequence","3.82","",""
"08/01/2025 01:00:00 - 08/01/2025 02:00:00","BZN|FI","Without sequence","3.91","",""
"08/01/2025 02:00:00 - 08/01/2025 03:00:00","BZN|FI","Without sequence","6.6","",""
"08/01/2025 03:00:00 - 08/01/2025 04:00:00","BZN|FI","Without sequence","6.48","",""
"08/01/2025 04:00:00 - 08/01/2025 05:00:00","BZN|FI","Without sequence","5.2","",""
"08/01/2025 05:00:00 - 08/01/2025 06:00:00","BZN|FI","Without sequence","12.59","",""
"08/01/2025 06:00:00 - 08/01/2025 07:00:00","BZN|FI","Without sequence","11.81","",""
"08/01/2025 07:00:00 - 08/01/2025 08:00:00","BZN|FI","Without sequence","36.29","",""
"08/01/2025 08:00:00 - 08/01/2025 09:00:00","BZN|FI","Without sequence","51.8","",""
"08/01/2025 09:00:00 - 08/01/2025 10:00:00","BZN|FI","Without sequence","59.72","",""
"08/01/2025 10:00:00 - 08/01/2025 11:00:00","BZN|FI","Without sequence","63.92","",""
"08/01/2025 11:00:00 - 08/01/2025 12:00:00","BZN|FI","Without sequence","71.21","",""
"08/01/2025 12:00:00 - 08/01/2025 13:00:00","BZN|FI","Without sequence","71.01","",""
"08/01/2025 13:00:00 - 08/01/2025 14:00:00","BZN|FI","Without sequence","76.15","",""
"08/01/2025 14:00:00 - 08/01/2025 15:00:00","BZN|FI","Without sequence","83.3","",""
"08/01/2025 15:00:00 - 08/01/2025 16:00:00","BZN|FI","Without sequence","108.54","",""
"08/01/2025 16:00:00 - 08/01/2025 17:00:00","BZN|FI","Without sequence","136.34","",""
"08/01/2025 17:00:00 - 08/01/2025 18:00:00","BZN|FI","Without sequence","144.22","",""
"08/01/2025 18:00:00 - 08/01/2025 19:00:00","BZN|FI","Without sequence","132.4","",""
"08/01/2025 19:00:00 - 08/01/2025 20:00:00","BZN|FI","Without sequence","133.69","",""
"08/01/2025 20:00:00 - 08/01/2025 21:00:00","BZN|FI","Without sequence","99.92","",""
"08/01/2025 21:00:00 - 08/01/2025 22:00:00","BZN|FI","Without sequence","91.29","",""
"08/01/2025 22:00:00 - 08/01/2025 23:00:00","BZN|FI","Without sequence","75.72","",""
"08/01/2025 23:00:00 - 09/01/2025 00:00:00","BZN|FI","Without sequence","46.96","",""
"09/01/2025 00:00:00 - 09/01/2025 01:00:00","BZN|FI","Without sequence","31.34","",""
"09/01/2025 01:00:00 - 09/01/2025 02:00:00","BZN|FI","Without sequence","29.07","",""
"09/01/2025 02:00:00 - 09/01/2025 03:00:00","BZN|FI","Without sequence","28.29","",""
"09/01/2025 03:00:00 - 09/01/2025 04:00:00","BZN|FI","Without sequence","28.94","",""
"09/01/2025 04:00:00 - 09/01/2025 05:00:00","BZN|FI","Without sequence","30.99","",""
"09/01/2025 05:00:00 - 09/01/2025 06:00:00","BZN|FI","Without sequence","43.41","",""
"09/01/2025 06:00:00 - 09/01/2025 07:00:00","BZN|FI","Without sequence","70.09","",""
"09/01/2025 07:00:00 - 09/01/2025 08:00:00","BZN|FI","Without sequence","153.37","",""
"09/01/2025 08:00:00 - 09/01/2025 09:00:00","BZN|FI","Without sequence","163.43","",""
"09/01/2025 09:00:00 - 09/01/2025 10:00:00","BZN|FI","Without sequence","155.46","",""
"09/01/2025 10:00:00 - 09/01/2025 11:00:00","BZN|FI","Without sequence","146.29","",""
"09/01/2025 11:00:00 - 09/01/2025 12:00:00","BZN|FI","Without sequence","146.35","",""
"09/01/2025 12:00:00 - 09/01/2025 13:00:00","BZN|FI","Without sequence","133.5","",""
"09/01/2025 13:00:00 - 09/01/2025 14:00:00","BZN|FI","Without sequence","126.15","",""
"09/01/2025 14:00:00 - 09/01/2025 15:00:00","BZN|FI","Without sequence","129.09","",""
"09/01/2025 15:00:00 - 09/01/2025 16:00:00","BZN|FI","Without sequence","134.73","",""
"09/01/2025 16:00:00 - 09/01/2025 17:00:00","BZN|FI","Without sequence","136.3","",""
"09/01/2025 17:00:00 - 09/01/2025 18:00:00","BZN|FI","Without sequence","138.24","",""
"09/01/2025 18:00:00 - 09/01/2025 19:00:00","BZN|FI","Without sequence","141.43","",""
"09/01/2025 19:00:00 - 09/01/2025 20:00:00","BZN|FI","Without sequence","130.53","",""
"09/01/2025 20:00:00 - 09/01/2025 21:00:00","BZN|FI","Without sequence","120.93","",""
"09/01/2025 21:00:00 - 09/01/2025 22:00:00","BZN|FI","Without sequence","102.51","",""
"09/01/2025 22:00:00 - 09/01/2025 23:00:00","BZN|FI","Without sequence","99.8","",""
"09/01/2025 23:00:00 - 10/01/2025 00:00:00","BZN|FI","Without sequence","69.51","",""
"10/01/2025 00:00:00 - 10/01/2025 01:00:00","BZN|FI","Without sequence","68.75","",""
"10/01/2025 01:00:00 - 10/01/2025 02:00:00","BZN|FI","Without sequence","58.49","",""
"10/01/2025 02:00:00 - 10/01/2025 03:00:00","BZN|FI","Without sequence","54.95","",""
"10/01/2025 03:00:00 - 10/01/2025 04:00:00","BZN|FI","Without sequence","50.94","",""
"10/01/2025 04:00:00 - 10/01/2025 05:00:00","BZN|FI","Without sequence","52.86","",""
"10/01/2025 05:00:00 - 10/01/2025 06:00:00","BZN|FI","Without sequence","62.85","",""
"10/01/2025 06:00:00 - 10/01/2025 07:00:00","BZN|FI","Without sequence","101.21","",""
"10/01/2025 07:00:00 - 10/01/2025 08:00:00","BZN|FI","Without sequence","125.63","",""
"10/01/2025 08:00:00 - 10/01/2025 09:00:00","BZN|FI","Without sequence","141.3","",""
"10/01/2025 09:00:00 - 10/01/2025 10:00:00","BZN|FI","Without sequence","137.3","",""
"10/01/2025 10:00:00 - 10/01/2025 11:00:00","BZN|FI","Without sequence","124.76","",""
"10/01/2025 11:00:00 - 10/01/2025 12:00:00","BZN|FI","Without sequence","115.15","",""
"10/01/2025 12:00:00 - 10/01/2025 13:00:00","BZN|FI","Without sequence","110.32","",""
"10/01/2025 13:00:00 - 10/01/2025 14:00:00","BZN|FI","Without sequence","105.01","",""
"10/01/2025 14:00:00 - 10/01/2025 15:00:00","BZN|FI","Without sequence","110.01","",""
"10/01/2025 15:00:00 - 10/01/2025 16:00:00","BZN|FI","Without sequence","125.66","",""
"10/01/2025 16:00:00 - 10/01/2025 17:00:00","BZN|FI","Without sequence","129.91","",""
"10/01/2025 17:00:00 - 10/01/2025 18:00:00","BZN|FI","Without sequence","138.25","",""
"10/01/2025 18:00:00 - 10/01/2025 19:00:00","BZN|FI","Without sequence","135.95","",""
"10/01/2025 19:00:00 - 10/01/2025 20:00:00","BZN|FI","Without sequence","96.03","",""
"10/01/2025 20:00:00 - 10/01/2025 21:00:00","BZN|FI","Without sequence","55.09","",""
"10/01/2025 21:00:00 - 10/01/2025 22:00:00","BZN|FI","Without sequence","46.82","",""
"10/01/2025 22:00:00 - 10/01/2025 23:00:00","BZN|FI","Without sequence","40.47","",""
"10/01/2025 23:00:00 - 11/01/2025 00:00:00","BZN|FI","Without sequence","32.06","",""
"11/01/2025 00:00:00 - 11/01/2025 01:00:00","BZN|FI","Without sequence","26.79","",""
"11/01/2025 01:00:00 - 11/01/2025 02:00:00","BZN|FI","Without sequence","22.01","",""
"11/01/2025 02:00:00 - 11/01/2025 03:00:00","BZN|FI","Without sequence","17.58","",""
"11/01/2025 03:00:00 - 11/01/2025 04:00:00","BZN|FI","Without sequence","15.74","",""
"11/01/2025 04:00:00 - 11/01/2025 05:00:00","BZN|FI","Without sequence","20.23","",""
"11/01/2025 05:00:00 - 11/01/2025 06:00:00","BZN|FI","Without sequence","25.27","",""
"11/01/2025 06:00:00 - 11/01/2025 07:00:00","BZN|FI","Without sequence","27.47","",""
"11/01/2025 07:00:00 - 11/01/2025 08:00:00","BZN|FI","Without sequence","35.44","",""
"11/01/2025 08:00:00 - 11/01/2025 09:00:00","BZN|FI","Without sequence","38.83","",""
"11/01/2025 09:00:00 - 11/01/2025 10:00:00","BZN|FI","Without sequence","41.11","",""
"11/01/2025 10:00:00 - 11/01/2025 11:00:00","BZN|FI","Without sequence","42.7","",""
"11/01/2025 11:00:00 - 11/01/2025 12:00:00","BZN|FI","Without sequence","42.81","",""
"11/01/2025 12:00:00 - 11/01/2025 13:00:00","BZN|FI","Without sequence","42.26","",""
"11/01/2025 13:00:00 - 11/01/2025 14:00:00","BZN|FI","Without sequence","44.85","",""
"11/01/2025 14:00:00 - 11/01/2025 15:00:00","BZN|FI","Without sequence","44.74","",""
"11/01/2025 15:00:00 - 11/01/2025 16:00:00","BZN|FI","Without sequence","45.34","",""
"11/01/2025 16:00:00 - 11/01/2025 17:00:00","BZN|FI","Without sequence","47.88","",""
"11/01/2025 17:00:00 - 11/01/2025 18:00:00","BZN|FI","Without sequence","51.56","",""
"11/01/2025 18:00:00 - 11/01/2025 19:00:00","BZN|FI","Without sequence","48.25","",""
"11/01/2025 19:00:00 - 11/01/2025 20:00:00","BZN|FI","Without sequence","45.58","",""
"11/01/2025 20:00:00 - 11/01/2025 21:00:00","BZN|FI","Without sequence","43.34","",""
"11/01/2025 21:00:00 - 11/01/2025 22:00:00","BZN|FI","Without sequence","43.52","",""
"11/01/2025 22:00:00 - 11/01/2025 23:00:00","BZN|FI","Without sequence","41.27","",""
"11/01/2025 23:00:00 - 12/01/2025 00:00:00","BZN|FI","Without sequence","35.14","",""
"12/01/2025 00:00:00 - 12/01/2025 01:00:00","BZN|FI","Without sequence","30.75","",""
"12/01/2025 01:00:00 - 12/01/2025 02:00:00","BZN|FI","Without sequence","26.15","",""
"12/01/2025 02:00:00 - 12/01/2025 03:00:00","BZN|FI","Without sequence","25.16","",""
"12/01/2025 03:00:00 - 12/01/2025 04:00:00","BZN|FI","Without sequence","30.35","",""
"12/01/2025 04:00:00 - 12/01/2025 05:00:00","BZN|FI","Without sequence","34.34","",""
"12/01/2025 05:00:00 - 12/01/2025 06:00:00","BZN|FI","Without sequence","35.51","",""
"12/01/2025 06:00:00 - 12/01/2025 07:00:00","BZN|FI","Without sequence","36.0","",""
"12/01/2025 07:00:00 - 12/01/2025 08:00:00","BZN|FI","Without sequence","36.66","",""
"12/01/2025 08:00:00 - 12/01/2025 09:00:00","BZN|FI","Without sequence","39.83","",""
"12/01/2025 09:00:00 - 12/01/2025 10:00:00","BZN|FI","Without sequence","55.0","",""
"12/01/2025 10:00:00 - 12/01/2025 11:00:00","BZN|FI","Without sequence","70.46","",""
"12/01/2025 11:00:00 - 12/01/2025 12:00:00","BZN|FI","Without sequence","80.7","",""
"12/01/2025 12:00:00 - 12/01/2025 13:00:00","BZN|FI","Without sequence","72.03","",""
"12/01/2025 13:00:00 - 12/01/2025 14:00:00","BZN|FI","Without sequence","68.0","",""
"12/01/2025 14:00:00 - 12/01/2025 15:00:00","BZN|FI","Without sequence","83.96","",""
"12/01/2025 15:00:00 - 12/01/2025 16:00:00","BZN|FI","Without sequence","100.0","",""
"12/01/2025 16:00:00 - 12/01/2025 17:00:00","BZN|FI","Without sequence","94.86","",""
"12/01/2025 17:00:00 - 12/01/2025 18:00:00","BZN|FI","Without sequence","99.73","",""
