"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|FI","Without sequence","4.85","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|FI","Without sequence","3.95","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|FI","Without sequence","3.8","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|FI","Without sequence","3.46","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|FI","Without sequence","3.44","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|FI","Without sequence","3.88","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|FI","Without sequence","20.88","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|FI","Without sequence","36.55","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|FI","Without sequence","41.79","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|FI","Without sequence","52.01","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|FI","Without sequence","75.0","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|FI","Without sequence","79.99","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|FI","Without sequence","77.02","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|FI","Without sequence","80.0","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|FI","Without sequence","85.17","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|FI","Without sequence","93.19","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|FI","Without sequence","101.72","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|FI","Without sequence","99.89","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|FI","Without sequence","101.71","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|FI","Without sequence","92.43","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|FI","Without sequence","89.99","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|FI","Without sequence","106.22","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|FI","Without sequence","106.22","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|FI","Without sequence","90.6","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|FI","Without sequence","51.32","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|FI","Without sequence","42.01","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|FI","Without sequence","40.74","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|FI","Without sequence","37.03","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|FI","Without sequence","42.9","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|FI","Without sequence","74.9","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|FI","Without sequence","82.76","",""
