"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|FI","Without sequence","26.68","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|FI","Without sequence","28.12","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|FI","Without sequence","28.58","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|FI","Without sequence","28.16","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|FI","Without sequence","28.78","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|FI","Without sequence","28.31","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|FI","Without sequence","28.44","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|FI","Without sequence","28.96","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|FI","Without sequence","29.86","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|FI","Without sequence","30.15","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|FI","Without sequence","30.07","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|FI","Without sequence","29.54","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|FI","Without sequence","29.11","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|FI","Without sequence","27.91","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|FI","Without sequence","27.03","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|FI","Without sequence","25.7","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|FI","Without sequence","22.04","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|FI","Without sequence","21.73","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|FI","Without sequence","15.95","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|FI","Without sequence","16.23","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|FI","Without sequence","6.45","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|FI","Without sequence","3.83","",""
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|FI","Without sequence","4.03","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|FI","Without sequence","4.04","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|FI","Without sequence","19.07","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|FI","Without sequence","17.49","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|FI","Without sequence","24.18","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|FI","Without sequence","24.94","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|FI","Without sequence","25.11","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|FI","Without sequence","24.94","",""
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|FI","Without sequence","24.95","",""
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|FI","Without sequence","25.25","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|FI","Without sequence","26.33","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|FI","Without sequence","27.36","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|FI","Without sequence","28.88","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|FI","Without sequence","29.58","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|FI","Without sequence","29.42","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|FI","Without sequence","27.71","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|FI","Without sequence","27.4","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|FI","Without sequence","27.37","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|FI","Without sequence","25.77","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|FI","Without sequence","26.65","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|FI","Without sequence","27.13","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|FI","Without sequence","27.11","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|FI","Without sequence","27.42","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|FI","Without sequence","28.06","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|FI","Without sequence","28.85","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|FI","Without sequence","29.26","",""
