"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|FI","Without sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|FI","Without sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|FI","Without sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|FI","Without sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|FI","Without sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|FI","Without sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|FI","Without sequence","55.09","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|FI","Without sequence","52.82","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|FI","Without sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|FI","Without sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|FI","Without sequence","53.01","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|FI","Without sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|FI","Without sequence","41.8","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|FI","Without sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|FI","Without sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|FI","Without sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|FI","Without sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|FI","Without sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|FI","Without sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|FI","Without sequence","65.19","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|FI","Without sequence","74.99","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|FI","Without sequence","88.15","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|FI","Without sequence","95.4","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|FI","Without sequence","86.71","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|FI","Without sequence","71.27","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|FI","Without sequence","54.12","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|FI","Without sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|FI","Without sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|FI","Without sequence","32.93","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|FI","Without sequence","20.89","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|FI","Without sequence","19.92","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|FI","Without sequence","19.87","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|FI","Without sequence","19.82","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|FI","Without sequence","20.26","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|FI","Without sequence","29.35","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|FI","Without sequence","80.0","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|FI","Without sequence","106.87","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|FI","Without sequence","122.93","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|FI","Without sequence","110.17","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|FI","Without sequence","101.99","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|FI","Without sequence","102.38","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|FI","Without sequence","106.06","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|FI","Without sequence","110.07","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|FI","Without sequence","101.97","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|FI","Without sequence","98.05","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|FI","Without sequence","120.55","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|FI","Without sequence","139.57","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|FI","Without sequence","134.69","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|FI","Without sequence","114.82","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|FI","Without sequence","92.91","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|FI","Without sequence","72.39","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|FI","Without sequence","49.3","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|FI","Without sequence","34.4","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|FI","Without sequence","39.99","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|FI","Without sequence","37.14","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|FI","Without sequence","36.66","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|FI","Without sequence","38.64","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|FI","Without sequence","41.02","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|FI","Without sequence","93.97","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|FI","Without sequence","122.39","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|FI","Without sequence","154.93","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|FI","Without sequence","167.88","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|FI","Without sequence","166.65","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|FI","Without sequence","167.29","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|FI","Without sequence","164.62","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|FI","Without sequence","159.98","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|FI","Without sequence","155.69","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|FI","Without sequence","155.16","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|FI","Without sequence","158.45","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|FI","Without sequence","161.35","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|FI","Without sequence","167.76","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|FI","Without sequence","164.46","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|FI","Without sequence","153.88","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|FI","Without sequence","146.81","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|FI","Without sequence","128.75","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|FI","Without sequence","112.96","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|FI","Without sequence","84.11","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|FI","Without sequence","93.87","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|FI","Without sequence","85.3","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|FI","Without sequence","84.5","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|FI","Without sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|FI","Without sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|FI","Without sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|FI","Without sequence","121.92","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|FI","Without sequence","139.9","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|FI","Without sequence","147.74","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|FI","Without sequence","141.47","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|FI","Without sequence","135.97","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|FI","Without sequence","129.99","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|FI","Without sequence","150.31","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|FI","Without sequence","134.71","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|FI","Without sequence","149.92","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|FI","Without sequence","160.01","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|FI","Without sequence","137.28","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|FI","Without sequence","148.09","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|FI","Without sequence","139.88","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|FI","Without sequence","135.75","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|FI","Without sequence","119.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|FI","Without sequence","98.09","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|FI","Without sequence","118.71","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|FI","Without sequence","97.29","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|FI","Without sequence","93.29","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|FI","Without sequence","80.77","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|FI","Without sequence","78.08","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|FI","Without sequence","81.97","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|FI","Without sequence","89.31","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|FI","Without sequence","89.75","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|FI","Without sequence","97.06","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|FI","Without sequence","110.87","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|FI","Without sequence","136.88","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|FI","Without sequence","205.87","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|FI","Without sequence","209.25","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|FI","Without sequence","224.71","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|FI","Without sequence","218.99","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|FI","Without sequence","202.71","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|FI","Without sequence","209.36","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|FI","Without sequence","225.23","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|FI","Without sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|FI","Without sequence","264.74","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|FI","Without sequence","270.07","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|FI","Without sequence","220.32","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|FI","Without sequence","217.91","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|FI","Without sequence","203.31","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|FI","Without sequence","171.31","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|FI","Without sequence","124.7","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|FI","Without sequence","128.92","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|FI","Without sequence","116.65","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|FI","Without sequence","100.54","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|FI","Without sequence","99.47","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|FI","Without sequence","101.74","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|FI","Without sequence","114.99","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|FI","Without sequence","140.19","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|FI","Without sequence","170.53","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|FI","Without sequence","175.66","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|FI","Without sequence","161.85","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|FI","Without sequence","161.37","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|FI","Without sequence","166.06","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|FI","Without sequence","166.54","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|FI","Without sequence","166.04","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|FI","Without sequence","169.43","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|FI","Without sequence","189.7","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|FI","Without sequence","201.97","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|FI","Without sequence","243.11","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|FI","Without sequence","247.72","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|FI","Without sequence","200.89","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|FI","Without sequence","224.33","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|FI","Without sequence","213.81","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|FI","Without sequence","185.94","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|FI","Without sequence","144.76","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|FI","Without sequence","160.71","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|FI","Without sequence","146.08","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|FI","Without sequence","144.64","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|FI","Without sequence","146.9","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|FI","Without sequence","150.07","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|FI","Without sequence","154.3","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|FI","Without sequence","166.0","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|FI","Without sequence","182.91","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|FI","Without sequence","182.03","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|FI","Without sequence","181.02","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|FI","Without sequence","170.04","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|FI","Without sequence","158.5","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|FI","Without sequence","158.79","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|FI","Without sequence","156.07","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|FI","Without sequence","156.18","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|FI","Without sequence","173.88","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|FI","Without sequence","182.94","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|FI","Without sequence","189.9","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|FI","Without sequence","182.94","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|FI","Without sequence","149.96","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|FI","Without sequence","145.06","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|FI","Without sequence","160.04","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|FI","Without sequence","126.06","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|FI","Without sequence","114.11","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|FI","Without sequence","85.03","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|FI","Without sequence","84.4","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|FI","Without sequence","82.74","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|FI","Without sequence","84.5","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|FI","Without sequence","110.19","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|FI","Without sequence","120.02","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|FI","Without sequence","120.0","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|FI","Without sequence","119.92","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|FI","Without sequence","97.26","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|FI","Without sequence","119.97","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|FI","Without sequence","134.96","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|FI","Without sequence","149.4","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|FI","Without sequence","165.13","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|FI","Without sequence","165.06","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|FI","Without sequence","170.09","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|FI","Without sequence","182.91","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|FI","Without sequence","190.96","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|FI","Without sequence","223.3","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|FI","Without sequence","243.19","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|FI","Without sequence","209.65","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|FI","Without sequence","155.07","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|FI","Without sequence","171.18","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|FI","Without sequence","170.03","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|FI","Without sequence","144.79","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|FI","Without sequence","144.28","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|FI","Without sequence","138.09","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|FI","Without sequence","133.81","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|FI","Without sequence","136.44","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|FI","Without sequence","142.99","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|FI","Without sequence","182.94","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|FI","Without sequence","248.5","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|FI","Without sequence","299.95","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|FI","Without sequence","313.92","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|FI","Without sequence","315.0","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|FI","Without sequence","310.41","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|FI","Without sequence","310.08","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|FI","Without sequence","300.0","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|FI","Without sequence","297.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|FI","Without sequence","299.96","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|FI","Without sequence","306.45","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|FI","Without sequence","302.73","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|FI","Without sequence","315.47","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|FI","Without sequence","310.82","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|FI","Without sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|FI","Without sequence","261.03","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|FI","Without sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|FI","Without sequence","211.83","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|FI","Without sequence","150.09","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|FI","Without sequence","147.5","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|FI","Without sequence","143.76","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|FI","Without sequence","140.21","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|FI","Without sequence","139.97","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|FI","Without sequence","141.56","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|FI","Without sequence","147.1","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|FI","Without sequence","151.89","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|FI","Without sequence","201.93","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|FI","Without sequence","213.06","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|FI","Without sequence","196.21","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|FI","Without sequence","198.24","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|FI","Without sequence","191.02","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|FI","Without sequence","158.36","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|FI","Without sequence","157.6","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|FI","Without sequence","157.67","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|FI","Without sequence","158.56","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|FI","Without sequence","161.11","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|FI","Without sequence","173.63","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|FI","Without sequence","168.02","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|FI","Without sequence","157.99","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|FI","Without sequence","153.78","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|FI","Without sequence","153.63","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|FI","Without sequence","150.56","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|FI","Without sequence","143.07","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|FI","Without sequence","24.62","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|FI","Without sequence","24.26","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|FI","Without sequence","24.99","",""
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","BZN|FI","Without sequence","23.47","",""
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","BZN|FI","Without sequence","30.71","",""
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","BZN|FI","Without sequence","99.97","",""
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","BZN|FI","Without sequence","119.59","",""
"12/01/2022 07:00:00 - 12/01/2022 08:00:00","BZN|FI","Without sequence","146.56","",""
"12/01/2022 08:00:00 - 12/01/2022 09:00:00","BZN|FI","Without sequence","148.6","",""
"12/01/2022 09:00:00 - 12/01/2022 10:00:00","BZN|FI","Without sequence","119.91","",""
"12/01/2022 10:00:00 - 12/01/2022 11:00:00","BZN|FI","Without sequence","119.91","",""
"12/01/2022 11:00:00 - 12/01/2022 12:00:00","BZN|FI","Without sequence","119.93","",""
"12/01/2022 12:00:00 - 12/01/2022 13:00:00","BZN|FI","Without sequence","119.96","",""
"12/01/2022 13:00:00 - 12/01/2022 14:00:00","BZN|FI","Without sequence","109.92","",""
"12/01/2022 14:00:00 - 12/01/2022 15:00:00","BZN|FI","Without sequence","103.11","",""
"12/01/2022 15:00:00 - 12/01/2022 16:00:00","BZN|FI","Without sequence","103.18","",""
"12/01/2022 16:00:00 - 12/01/2022 17:00:00","BZN|FI","Without sequence","111.59","",""
"12/01/2022 17:00:00 - 12/01/2022 18:00:00","BZN|FI","Without sequence","104.66","",""
