"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|FI","Without sequence","46.6","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|FI","Without sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|FI","Without sequence","42.18","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|FI","Without sequence","44.37","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|FI","Without sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|FI","Without sequence","39.7","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|FI","Without sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|FI","Without sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|FI","Without sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|FI","Without sequence","65.48","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|FI","Without sequence","76.53","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|FI","Without sequence","83.63","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|FI","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|FI","Without sequence","94.02","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|FI","Without sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|FI","Without sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|FI","Without sequence","126.6","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|FI","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|FI","Without sequence","146.33","",""
